traceId	group	protocol	initialState	events	faultClass	outcome	candidates	subjects	bindings	lanes	calls	localCounters	budgets	isolation
C01_CAPACITY_GLOBAL	ADMISSION	COMMON	VERIFIED_WALRUN_OPEN	FAULT:ADMISSION_REJECTION;ADMISSION_REJECT	ADMISSION_REJECTION	CAPACITY_REJECTED_BEFORE_POSITION	-	-	-	-	-	acks=0,publications=0,waiters=0,spool=0,crypto=0	requests=0,putBytes=0,readBytes=0,listPages=0,listedObjects=0,listedKeyBytes=0,decodedUnits=0,elapsedMillis=0	NONE
C02_CAPACITY_BINDING	ADMISSION	COMMON	VERIFIED_WALRUN_OPEN	FAULT:ADMISSION_REJECTION;SUBJECT:s0:c0:b0:u0;ADMISSION_REJECT	ADMISSION_REJECTION	CAPACITY_REJECTED_BEFORE_POSITION	-	s0:c0:b0:u0:NOT_ALLOCATED:NONE_ACQUIRED:NONE:0	b0:0:ADMITTING	-	-	acks=0,publications=0,waiters=0,spool=0,crypto=0	requests=0,putBytes=0,readBytes=0,listPages=0,listedObjects=0,listedKeyBytes=0,decodedUnits=0,elapsedMillis=0	NONE
C03_BACKPRESSURE_GLOBAL	ADMISSION	COMMON	VERIFIED_WALRUN_OPEN	FAULT:ADMISSION_REJECTION;BACKPRESSURE	ADMISSION_REJECTION	BACKPRESSURED_BEFORE_POSITION	-	-	-	-	-	acks=0,publications=0,waiters=0,spool=0,crypto=0	requests=0,putBytes=0,readBytes=0,listPages=0,listedObjects=0,listedKeyBytes=0,decodedUnits=0,elapsedMillis=0	NONE
C04_BACKPRESSURE_BINDING	ADMISSION	COMMON	VERIFIED_WALRUN_OPEN	FAULT:ADMISSION_REJECTION;SUBJECT:s0:c0:b0:u0;BACKPRESSURE	ADMISSION_REJECTION	BACKPRESSURED_BEFORE_POSITION	-	s0:c0:b0:u0:NOT_ALLOCATED:NONE_ACQUIRED:NONE:0	b0:0:ADMITTING	-	-	acks=0,publications=0,waiters=0,spool=0,crypto=0	requests=0,putBytes=0,readBytes=0,listPages=0,listedObjects=0,listedKeyBytes=0,decodedUnits=0,elapsedMillis=0	NONE
C05_POSITION_ASSIGNMENT_FAILURE	ADMISSION	COMMON	VERIFIED_WALRUN_OPEN	FAULT:RETRYABLE_BINDING_LOCAL;SUBJECT:s0:c0:b0:u0;RESERVE:s0;POSITION_FAIL:s0	RETRYABLE_BINDING_LOCAL	POSITION_ASSIGNMENT_FAILED	-	s0:c0:b0:u0:NOT_ALLOCATED:RELEASED_AFTER_ROLLBACK:NONE:0	b0:0:ADMITTING	-	-	acks=0,publications=0,waiters=0,spool=0,crypto=0	requests=0,putBytes=0,readBytes=0,listPages=0,listedObjects=0,listedKeyBytes=0,decodedUnits=0,elapsedMillis=0	BINDING_LOCAL
C06_PLAN_SEALED_LANE0	SEQUENCING	COMMON	VERIFIED_WALRUN_OPEN	PLAN:c0:0:0	-	PLAN_SEALED_NO_EXTERNAL_EFFECT	c0:0:0:NOT_DISPATCHED:NOT_CALLED	-	-	0:ALLOCATED_HELD:0	-	acks=0,publications=0,waiters=0,spool=0,crypto=0	requests=0,putBytes=0,readBytes=0,listPages=0,listedObjects=0,listedKeyBytes=0,decodedUnits=0,elapsedMillis=0	NONE
C07_PLAN_SEALED_LANE1	SEQUENCING	COMMON	VERIFIED_WALRUN_OPEN	PLAN:c0:1:5	-	PLAN_SEALED_NO_EXTERNAL_EFFECT	c0:1:5:NOT_DISPATCHED:NOT_CALLED	-	-	1:ALLOCATED_HELD:0	-	acks=0,publications=0,waiters=0,spool=0,crypto=0	requests=0,putBytes=0,readBytes=0,listPages=0,listedObjects=0,listedKeyBytes=0,decodedUnits=0,elapsedMillis=0	NONE
C08_RETRY_PENDING_APPEND	ADMISSION	COMMON	VERIFIED_WALRUN_OPEN	FAULT:RETRYABLE_BINDING_LOCAL;SUBJECT:s0:c0:b0:u0;RESERVE:s0;ASSIGN:s0;RETRY:s0	RETRYABLE_BINDING_LOCAL	RETRY_SAME_PENDING_APPEND	-	s0:c0:b0:u0:ASSIGNED_HELD:RETAINED_PENDING:NONE:0	b0:0:ADMITTING	-	-	acks=0,publications=0,waiters=0,spool=0,crypto=0	requests=0,putBytes=0,readBytes=0,listPages=0,listedObjects=0,listedKeyBytes=0,decodedUnits=0,elapsedMillis=0	BINDING_LOCAL
C09_BINDING_FENCE_BEFORE_POSITION	ADMISSION	COMMON	VERIFIED_WALRUN_OPEN	FAULT:FENCE_BINDING;SUBJECT:s0:c0:b0:u0;FENCE:b0	FENCE_BINDING	BINDING_WRITER_FENCED	-	s0:c0:b0:u0:NOT_ALLOCATED:NONE_ACQUIRED:NONE:0	b0:0:FENCED	-	-	acks=0,publications=0,waiters=0,spool=0,crypto=0	requests=0,putBytes=0,readBytes=0,listPages=0,listedObjects=0,listedKeyBytes=0,decodedUnits=0,elapsedMillis=0	BINDING_LOCAL
C10_RESUME_SAME_POSITION	SEQUENCING	COMMON	VERIFIED_WALRUN_OPEN	FAULT:RETRYABLE_BINDING_LOCAL;SUBJECT:s0:c0:b0:u0;RESERVE:s0;ASSIGN:s0;RESUME:s0	RETRYABLE_BINDING_LOCAL	RESUME_SAME_APPEND_SAME_POSITION	-	s0:c0:b0:u0:RESUMED_SAME_POSITION:RETAINED_PENDING:NONE:0	b0:0:ADMITTING	-	-	acks=0,publications=0,waiters=0,spool=0,crypto=0	requests=0,putBytes=0,readBytes=0,listPages=0,listedObjects=0,listedKeyBytes=0,decodedUnits=0,elapsedMillis=0	NONE
C11_ROLLBACK_SINGLE_SUFFIX	SEQUENCING	COMMON	VERIFIED_WALRUN_OPEN	FAULT:RETRYABLE_BINDING_LOCAL;SUBJECT:s0:c0:b0:u0;RESERVE:s0;ASSIGN:s0;ROLLBACK:s0	RETRYABLE_BINDING_LOCAL	ROLLBACK_SPECULATIVE_SUFFIX	-	s0:c0:b0:u0:ROLLED_BACK_SPECULATIVE_SUFFIX:RELEASED_AFTER_ROLLBACK:ROLLED_BACK:0	b0:0:ADMITTING	-	-	acks=0,publications=0,waiters=0,spool=0,crypto=0	requests=0,putBytes=0,readBytes=0,listPages=0,listedObjects=0,listedKeyBytes=0,decodedUnits=0,elapsedMillis=0	BINDING_LOCAL
C12_LANE0_LONG_MAX_EXHAUSTION	SEQUENCING	COMMON	VERIFIED_WALRUN_OPEN	PLAN:c0:0:9223372036854775807;EXHAUST:0	-	LANE_SEQUENCE_EXHAUSTED_SUCCESSOR_REQUIRED	c0:0:9223372036854775807:NOT_DISPATCHED:NOT_CALLED	-	-	0:EXHAUSTED:0	-	acks=0,publications=0,waiters=0,spool=0,crypto=0	requests=0,putBytes=0,readBytes=0,listPages=0,listedObjects=0,listedKeyBytes=0,decodedUnits=0,elapsedMillis=0	LANE_LOCAL
C13_SHARED_INVARIANT_STOP	SEQUENCING	COMMON	VERIFIED_WALRUN_OPEN	FAULT:STOP_WALRUN_SHARED_INVARIANT;PLAN:c0:0:0;SUBJECT:s0:c0:b0:u0;RESERVE:s0;ASSIGN:s0;STOP_SHARED:c0	STOP_WALRUN_SHARED_INVARIANT	STOP_WALRUN_SHARED_INVARIANT	c0:0:0:NOT_DISPATCHED:NOT_CALLED	s0:c0:b0:u0:UNKNOWN_RETAINED:RETAINED_PENDING:NONE:0	b0:0:STOPPED	0:BURNED_WITH_RUN_STOP:0	-	acks=0,publications=0,waiters=0,spool=0,crypto=0	requests=0,putBytes=0,readBytes=0,listPages=0,listedObjects=0,listedKeyBytes=0,decodedUnits=0,elapsedMillis=0	WALRUN_SHARED
C14_BURN_OLD_RUN_SEQUENCE	SEQUENCING	COMMON	VERIFIED_WALRUN_OPEN	FAULT:PROVIDER_DEFINITIVE_FAILURE;PLAN:c0:0:0;SUBJECT:s0:c0:b0:u0;RESERVE:s0;ASSIGN:s0;BURN:c0	PROVIDER_DEFINITIVE_FAILURE	STOP_OLD_WALRUN_BURN_SEQUENCE	c0:0:0:NOT_DISPATCHED:NOT_CALLED	s0:c0:b0:u0:SEALED_BEFORE_GAP:TRANSFERRED_TO_RECOVERY:NONE:0	b0:0:STOPPED	0:BURNED_WITH_RUN_STOP:0	-	acks=0,publications=0,waiters=0,spool=0,crypto=0	requests=0,putBytes=0,readBytes=0,listPages=0,listedObjects=0,listedKeyBytes=0,decodedUnits=0,elapsedMillis=0	LANE_LOCAL
C15_HIDDEN_LOCATOR_PUBLICATION_BLOCK	PUBLICATION	COMMON	VERIFIED_WALRUN_OPEN	PLAN:c0:0:0;SUBJECT:s0:c0:b0:u0;RESERVE:s0;ASSIGN:s0;FIXTURE_RESOLVE:c0;HIDE:s0;BLOCK:s0	-	PUBLICATION_BLOCKED	c0:0:0:DISPATCHED:APPLIED_EXACT	s0:c0:b0:u0:ASSIGNED_HELD:RELEASED_AFTER_PROVIDER_RESOLUTION:HIDDEN_INSTALLED:0	b0:0:ADMITTING	0:RESOLVED:1	-	acks=0,publications=0,waiters=0,spool=0,crypto=0	requests=0,putBytes=0,readBytes=0,listPages=0,listedObjects=0,listedKeyBytes=0,decodedUnits=0,elapsedMillis=0	NONE
C16_PUBLISH_AND_ACK_LANE0	PUBLICATION	COMMON	VERIFIED_WALRUN_OPEN	PLAN:c0:0:0;SUBJECT:s0:c0:b0:u0;RESERVE:s0;ASSIGN:s0;FIXTURE_RESOLVE:c0;HIDE:s0;PUBLISH:s0;ACK:s0	-	PUBLISHED_AND_ACKED	c0:0:0:DISPATCHED:APPLIED_EXACT	s0:c0:b0:u0:COMMITTED:RELEASED_AFTER_PUBLICATION:VISIBLE_PUBLISHED:1	b0:1:ADMITTING	0:RESOLVED:1	-	acks=1,publications=1,waiters=0,spool=0,crypto=0	requests=0,putBytes=0,readBytes=0,listPages=0,listedObjects=0,listedKeyBytes=0,decodedUnits=0,elapsedMillis=0	NONE
C17_BINDING_LOCAL_FAILURE	ISOLATION	COMMON	VERIFIED_WALRUN_OPEN	FAULT:RETRYABLE_BINDING_LOCAL;PLAN:c0:0:0;SUBJECT:s0:c0:b0:u0;RESERVE:s0;ASSIGN:s0;FIXTURE_RESOLVE:c0;HIDE:s0;BINDING_FAIL:s0	RETRYABLE_BINDING_LOCAL	BINDING_FAILURE_ISOLATED	c0:0:0:DISPATCHED:APPLIED_EXACT	s0:c0:b0:u0:UNKNOWN_RETAINED:RELEASED_AFTER_PROVIDER_RESOLUTION:ROLLED_BACK:0	b0:0:ADMITTING	0:RESOLVED:1	-	acks=0,publications=0,waiters=0,spool=0,crypto=0	requests=0,putBytes=0,readBytes=0,listPages=0,listedObjects=0,listedKeyBytes=0,decodedUnits=0,elapsedMillis=0	BINDING_LOCAL
