class	frameType	entryId	length	sha256	hex
minimum	RUN_HEADER	0	231	f26d51e5f8fb2b055cd77f4f4aa19c4c1ff2678e322c5e1a8a015ca32a1ec77b	4e424b453201000100000020000000e70000000000000029000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000200016100000000000000000000000000000000000000000000000000000000000000000000000300000000000000010000000000000000000000000000000000000000000000000000000000000000000000040000000000000000000000000000000600000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000739ba4060
minimum	DATA	1	304	f9f4dc7b90e157c5bfb60a7c89aa1bec2735480c40d959df0710d313fabb93fc	4e424b4532010002010000200000013000000000000000290000000000000001000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000002000161000000000000000000000000000000000000000000000000000000000000000000000003000000000000000100000000000000000000000000000000000000000000000000000000000000000000000400000000000000000000000000000006000000000000000000000000000000010000000000000001000000000000000000000000000000080000000000000000000000000000000900000000000000000000000000000001000000000000000100000000000000014bf5122f344554c53bde2ebb8cd2b7e3d1600ad631c385a5d7cce23c7785459a019a773a71
minimum	RANGE_INDEX_BLOCK	2	307	177ad0a3d0f89da1c9952da2dd84f95949d1735ea8a235d380bfe9498c2fc1e5	4e424b453201000300000020000001330000000000000029000000000000000200000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000200016100000000000000000000000000000000000000000000000000000000000000000000000300000000000000010000000000000000000000000000000000000000000000000000000000000000000000040000000000000000000000000000000600000000000000000000000000000001000000000000000100000000000000010000000000000001ffffffffffffffff00000000000000030000000100000000000000000000000100000000000000000000000000000001000000004b5f83a367c359ada58d16555ef7b869abc2385cb8c940409711075191799becd20879ca
minimum	PROTOCOL_CHECKPOINT	3	259	548358f3f1c9fa28f6e2041c6d494ba1287c39e7651b7f74712c37f007999e77	4e424b45320100040000002000000103000000000000002900000000000000030000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000020001610000000000000000000000000000000000000000000000000000000000000000000000030000000000000001000000000000000000000000000000000000000000000000000000000000000000000004000000000000000000000000000000060000000000000000000000000000000000000000000000000000000000000000000000000000000000000000a4e558a046bd79d1c86be0a0363d07344ef1edec6233b20ae75272f5c73a0f9998349436
minimum	RUN_FOOTER	0	259	d0d19077d688abce731fcd19047368b6821dc04067b52585d3844e8159b84257	4e424b453201000500000020000001030000000000000029000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000200016100000000000000000000000000000000000000000000000000000000000000000000000300000000000000010000000000000000000000000000000000000000000000000000000000000000000000040000000000000000000000000000000600000000000000000000000000000001ffffffffffffffffffffffffffffffff000000000000000100000000b640cc7845394a33316937af68bd3068585d07d9a82d1869b51fbeefc14fc28ce35ea24f
representative	RUN_HEADER	0	236	29510673cd75bebfee3745adf3af1c4b2dec9bbe6ef3e198e5016dfb78819fc0	4e424b453201000100000020000000ec0000000000000029000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000200066f7264657273000000070000000000000000000000000000000000000000000000000000000000000003000000000000000b00000005000000000000000000000000000000000000000000000000000000000000000400000000000000000000000000000006000000000000006400000000000000010000000000000000000000000000000000000000000000000000000000000007358e59f1
representative	DATA	1	313	45deeabbdb998ef4cb23b7b389eea0b2a36673ad630e7cc9e1d7df5676cc5d9e	4e424b453201000201000020000001390000000000000029000000000000000100000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000200066f7264657273000000070000000000000000000000000000000000000000000000000000000000000003000000000000000b0000000500000000000000000000000000000000000000000000000000000000000000040000000000000000000000000000000600000000000000640000000200000005000000000000000100000000000000000000000000000008000000000000000000000000000000090000000000000064000000000000006700000000000000010000000000000001fbcb89ad6e6b6c69d2ec9623ed1fad1529bd39c1b766519d6dbaa3b9d1a3d527102030405034de8b10
representative	RANGE_INDEX_BLOCK	3	344	870beef5bdd23009f62742e57ccfe274f6ee016ba8f5229b4ac2f2b0fd87169f	4e424b453201000300000020000001580000000000000029000000000000000300000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000200066f7264657273000000070000000000000000000000000000000000000000000000000000000000000003000000000000000b0000000500000000000000000000000000000000000000000000000000000000000000040000000000000000000000000000000600000000000000640000000000000001000000000000006900000000000000010000000000000002ffffffffffffffff0000000000000004000000020000000000000000000000030000000000000000000000000000000500000001000000000000000300000002000000010000000100000000000000070000000171e77573af91f0ddb039ac7bdd76577fc023abe2a435ed954d9e7425118adc17a344e515
representative	PROTOCOL_CHECKPOINT	4	270	116f3d2f48172e68fb0d61af6c2319d421cf469f4c150d5d82e1ed337a02ea23	4e424b4532010004000000200000010e0000000000000029000000000000000400000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000200066f7264657273000000070000000000000000000000000000000000000000000000000000000000000003000000000000000b000000050000000000000000000000000000000000000000000000000000000000000004000000000000000000000000000000060000000000000069000000000000006800000000000000670000000000000069000000020000000300000001010203040506b91982f6f8aafd2763e2a59282f1bf86f2dce82528f06404538108e628fa984a3f08960b
representative	RUN_FOOTER	5	288	57355e3f695674d389e5a98574e8f0a24474d8d300ae9f276784f8bd4544c154	4e424b453201000500000020000001200000000000000029000000000000000500000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000200066f7264657273000000070000000000000000000000000000000000000000000000000000000000000003000000000000000b000000050000000000000000000000000000000000000000000000000000000000000004000000000000000000000000000000060000000000000069000000000000000600000000000000030000000000000004000000000000000c00000001000000000000000300000000000000640000000000000069eb76577cd987b3779c5d2a22480be9b60dec8976b46814db001647595a29ab67286888b3
